comparison,concurrency,failure_rate,mean_delta,metric,n_ng,n_plangate_adaptive,n_plangate_adaptive_react_recovery,n_plangate_no_capacity_step0,n_plangate_strict,ng_ci_high,ng_ci_low,ng_mean,plangate_adaptive_ci_high,plangate_adaptive_ci_low,plangate_adaptive_mean,plangate_adaptive_react_recovery_ci_high,plangate_adaptive_react_recovery_ci_low,plangate_adaptive_react_recovery_mean,plangate_no_capacity_step0_ci_high,plangate_no_capacity_step0_ci_low,plangate_no_capacity_step0_mean,plangate_strict_ci_high,plangate_strict_ci_low,plangate_strict_mean
adaptive_vs_no_capacity_step0,20,0.1,-354.6,wasted_tool_calls,,5,,5,,,,,191.8,177.8,184.8,,,,603.8,475.0,539.4,,,
adaptive_vs_no_capacity_step0,20,0.1,-44750.092,p95_ms,,5,,5,,,,,604.133,534.548,573.7568,,,,45423.961,45223.7366,45323.8488,,,
adaptive_vs_no_capacity_step0,20,0.1,9.4738,effective_goodput,,5,,5,,,,,10.39846,9.45574,9.91032,,,,0.53414,0.36422,0.43652,,,
adaptive_vs_no_capacity_step0,20,0.1,-0.272,workflow_success_rate,,5,,5,,,,,0.16,0.141,0.15,,,,0.445,0.403,0.422,,,
adaptive_vs_no_capacity_step0,20,0.1,0.377559,admitted_success_rate,,5,,5,,,,,0.898366,0.854434,0.876207,,,,0.539054,0.465189,0.498648,,,
adaptive_vs_no_capacity_step0,20,0.2,-65.0,cascade_failed,,5,,5,,,,,8.4,6.4,7.4,,,,84.4,59.8,72.4,,,
adaptive_vs_no_capacity_step0,20,0.2,-2394413.88,wasted_service_ms,,5,,5,,,,,3656.16,2299.58,2978.42,,,,3041091.12,1780941.46,2397392.3,,,
adaptive_vs_no_capacity_step0,20,0.2,-247.6,wasted_tool_calls,,5,,5,,,,,201.6,190.0,195.2,,,,499.2,382.2,442.8,,,
adaptive_vs_no_capacity_step0,20,0.2,-35868.1034,p95_ms,,5,,5,,,,,515.6968,463.3888,489.5428,,,,45335.2396,18542.6294,36357.6462,,,
adaptive_vs_no_capacity_step0,20,0.2,9.98048,effective_goodput,,5,,5,,,,,11.27646,9.73678,10.51212,,,,0.6772,0.42658,0.53164,,,
adaptive_vs_no_capacity_step0,20,0.2,-0.228,workflow_success_rate,,5,,5,,,,,0.158,0.14,0.149,,,,0.393,0.362,0.377,,,
adaptive_vs_no_capacity_step0,20,0.2,0.285666,admitted_success_rate,,5,,5,,,,,0.829444,0.772087,0.800765,,,,0.566173,0.475578,0.515099,,,
adaptive_vs_no_capacity_step0,50,0.0,-31.4,cascade_failed,,5,,5,,,,,2.8,0.4,1.6,,,,45.0,22.0,33.0,,,
adaptive_vs_no_capacity_step0,50,0.0,-361222.8,wasted_service_ms,,5,,5,,,,,256.66,1.06,108.88,,,,435070.24,287578.32,361331.68,,,
adaptive_vs_no_capacity_step0,50,0.0,-67.6,wasted_tool_calls,,5,,5,,,,,178.8,170.8,174.8,,,,273.6,221.0,242.4,,,
adaptive_vs_no_capacity_step0,50,0.0,-8.1608,p95_ms,,5,,5,,,,,479.3348,257.9572,368.646,,,,495.726,267.3122,376.8068,,,
adaptive_vs_no_capacity_step0,50,0.0,10.15874,effective_goodput,,5,,5,,,,,11.8089,9.80338,10.8327,,,,0.79702,0.534,0.67396,,,
adaptive_vs_no_capacity_step0,50,0.0,-0.017,workflow_success_rate,,5,,5,,,,,0.148,0.136,0.142,,,,0.188,0.126,0.159,,,
adaptive_vs_no_capacity_step0,50,0.0,0.438566,admitted_success_rate,,5,,5,,,,,0.986667,0.906667,0.946667,,,,0.630457,0.374113,0.508101,,,
adaptive_vs_no_capacity_step0,50,0.1,-58.2,cascade_failed,,5,,5,,,,,2.6,1.4,2.0,,,,71.2,50.0,60.2,,,
adaptive_vs_no_capacity_step0,50,0.1,-479940.78,wasted_service_ms,,5,,5,,,,,1115.54,287.6,642.84,,,,573075.12,378722.94,480583.62,,,
adaptive_vs_no_capacity_step0,50,0.1,-100.0,wasted_tool_calls,,5,,5,,,,,182.6,176.6,179.4,,,,315.4,248.6,279.4,,,
adaptive_vs_no_capacity_step0,50,0.1,-17937.662,p95_ms,,5,,5,,,,,371.4974,215.3702,286.7476,,,,36168.698,280.1212,18224.4096,,,
adaptive_vs_no_capacity_step0,50,0.1,11.5692,effective_goodput,,5,,5,,,,,14.65916,10.47404,12.24878,,,,0.9903,0.40838,0.67958,,,
adaptive_vs_no_capacity_step0,50,0.1,-0.019,workflow_success_rate,,5,,5,,,,,0.143,0.137,0.14,,,,0.233,0.095,0.159,,,
adaptive_vs_no_capacity_step0,50,0.1,0.594169,admitted_success_rate,,5,,5,,,,,0.953333,0.913333,0.933333,,,,0.449184,0.212381,0.339164,,,
adaptive_vs_no_capacity_step0,50,0.2,-67.4,cascade_failed,,5,,5,,,,,7.8,4.6,6.4,,,,80.0,67.0,73.8,,,
adaptive_vs_no_capacity_step0,50,0.2,-453518.38,wasted_service_ms,,5,,5,,,,,1562.64,1042.3,1304.96,,,,511055.14,406826.66,454823.34,,,
adaptive_vs_no_capacity_step0,50,0.2,-120.4,wasted_tool_calls,,5,,5,,,,,200.6,189.0,195.0,,,,329.0,301.6,315.4,,,
adaptive_vs_no_capacity_step0,50,0.2,-1714.2356,p95_ms,,5,,5,,,,,247.604,228.727,238.6114,,,,4725.3676,438.4552,1952.847,,,
adaptive_vs_no_capacity_step0,50,0.2,9.10226,effective_goodput,,5,,5,,,,,11.1372,7.8444,9.4908,,,,0.42202,0.35506,0.38854,,,
adaptive_vs_no_capacity_step0,50,0.2,0.029,workflow_success_rate,,5,,5,,,,,0.129,0.113,0.12,,,,0.1,0.082,0.091,,,
adaptive_vs_no_capacity_step0,50,0.2,0.590845,admitted_success_rate,,5,,5,,,,,0.847957,0.743441,0.789677,,,,0.220088,0.176166,0.198832,,,
adaptive_vs_no_capacity_step0,100,0.0,-30.6,cascade_failed,,5,,5,,,,,2.2,0.2,1.2,,,,43.0,23.0,31.8,,,
adaptive_vs_no_capacity_step0,100,0.0,-591816.08,wasted_service_ms,,5,,5,,,,,472.6,1.02,184.54,,,,777844.3,424833.58,592000.62,,,
adaptive_vs_no_capacity_step0,100,0.0,-83.6,wasted_tool_calls,,5,,5,,,,,179.2,170.6,174.2,,,,283.6,230.6,257.8,,,
adaptive_vs_no_capacity_step0,100,0.0,-26812.5002,p95_ms,,5,,5,,,,,502.9914,280.2146,391.603,,,,45150.146,9244.28,27204.1032,,,
adaptive_vs_no_capacity_step0,100,0.0,9.92146,effective_goodput,,5,,5,,,,,11.5564,9.63538,10.5129,,,,0.6866,0.49628,0.59144,,,
adaptive_vs_no_capacity_step0,100,0.0,0.004,workflow_success_rate,,5,,5,,,,,0.149,0.139,0.144,,,,0.162,0.118,0.14,,,
adaptive_vs_no_capacity_step0,100,0.0,0.478844,admitted_success_rate,,5,,5,,,,,0.993333,0.926667,0.96,,,,0.586968,0.372296,0.481156,,,
adaptive_vs_no_capacity_step0,100,0.1,-34.2,cascade_failed,,5,,5,,,,,6.2,2.8,4.4,,,,49.6,28.2,38.6,,,
adaptive_vs_no_capacity_step0,100,0.1,-544535.94,wasted_service_ms,,5,,5,,,,,1795.98,1069.06,1432.52,,,,675360.02,444218.2,545968.46,,,
adaptive_vs_no_capacity_step0,100,0.1,-79.6,wasted_tool_calls,,5,,5,,,,,189.6,184.2,186.8,,,,289.6,241.0,266.4,,,
adaptive_vs_no_capacity_step0,100,0.1,-27307.8286,p95_ms,,5,,5,,,,,497.073,315.391,406.232,,,,45148.686,9747.6748,27714.0606,,,
adaptive_vs_no_capacity_step0,100,0.1,8.86958,effective_goodput,,5,,5,,,,,10.15736,8.42988,9.4482,,,,0.74298,0.44504,0.57862,,,
adaptive_vs_no_capacity_step0,100,0.1,-0.007,workflow_success_rate,,5,,5,,,,,0.136,0.118,0.128,,,,0.172,0.105,0.135,,,
adaptive_vs_no_capacity_step0,100,0.1,0.433317,admitted_success_rate,,5,,5,,,,,0.906667,0.786667,0.853333,,,,0.548505,0.305577,0.420017,,,
adaptive_vs_no_capacity_step0,100,0.2,-31.8,cascade_failed,,5,,5,,,,,7.0,3.6,5.2,,,,48.4,25.6,37.0,,,
adaptive_vs_no_capacity_step0,100,0.2,-544149.14,wasted_service_ms,,5,,5,,,,,1902.0,627.14,1218.3,,,,674548.22,416361.54,545367.44,,,
adaptive_vs_no_capacity_step0,100,0.2,-79.6,wasted_tool_calls,,5,,5,,,,,197.8,184.6,190.4,,,,283.4,256.2,270.0,,,
adaptive_vs_no_capacity_step0,100,0.2,-26944.7596,p95_ms,,5,,5,,,,,287.503,217.6922,246.7422,,,,45165.2974,9212.56,27191.5018,,,
adaptive_vs_no_capacity_step0,100,0.2,8.22878,effective_goodput,,5,,5,,,,,9.47836,7.96188,8.72012,,,,0.51938,0.459,0.49134,,,
adaptive_vs_no_capacity_step0,100,0.2,0.011,workflow_success_rate,,5,,5,,,,,0.132,0.118,0.125,,,,0.121,0.106,0.114,,,
adaptive_vs_no_capacity_step0,100,0.2,0.426506,admitted_success_rate,,5,,5,,,,,0.88,0.771828,0.828387,,,,0.484136,0.319627,0.401881,,,
adaptive_recovery_vs_adaptive,20,0.0,0.0,resume_recovered,,5,5,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
adaptive_recovery_vs_adaptive,20,0.0,0.0,post_resume_success,,5,5,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
adaptive_recovery_vs_adaptive,20,0.0,0.0,avoided_replay_steps,,5,5,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
adaptive_recovery_vs_adaptive,20,0.0,0.0,cascade_failed,,5,5,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
adaptive_recovery_vs_adaptive,20,0.0,0.0,duplicate_side_effect,,5,5,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
adaptive_recovery_vs_adaptive,20,0.0,0.0,wasted_service_ms,,5,5,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
adaptive_recovery_vs_adaptive,20,0.1,2.4,resume_recovered,,5,5,,,,,,0.0,0.0,0.0,3.4,1.6,2.4,,,,,,
adaptive_recovery_vs_adaptive,20,0.1,2.4,post_resume_success,,5,5,,,,,,0.0,0.0,0.0,3.4,1.6,2.4,,,,,,
adaptive_recovery_vs_adaptive,20,0.1,8.2,avoided_replay_steps,,5,5,,,,,,0.0,0.0,0.0,13.4,3.6,8.2,,,,,,
adaptive_recovery_vs_adaptive,20,0.1,-3.2,cascade_failed,,5,5,,,,,,4.8,3.6,4.2,1.6,0.4,1.0,,,,,,
adaptive_recovery_vs_adaptive,20,0.1,0.0,duplicate_side_effect,,5,5,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
adaptive_recovery_vs_adaptive,20,0.1,-1629.7,wasted_service_ms,,5,5,,,,,,2475.24,1499.24,1920.68,661.18,2.32,290.98,,,,,,
adaptive_recovery_vs_adaptive,20,0.2,3.4,resume_recovered,,5,5,,,,,,0.0,0.0,0.0,4.4,2.2,3.4,,,,,,
adaptive_recovery_vs_adaptive,20,0.2,3.4,post_resume_success,,5,5,,,,,,0.0,0.0,0.0,4.4,2.2,3.4,,,,,,
adaptive_recovery_vs_adaptive,20,0.2,11.2,avoided_replay_steps,,5,5,,,,,,0.0,0.0,0.0,13.4,8.0,11.2,,,,,,
adaptive_recovery_vs_adaptive,20,0.2,-3.0,cascade_failed,,5,5,,,,,,8.4,6.4,7.4,5.4,3.2,4.4,,,,,,
adaptive_recovery_vs_adaptive,20,0.2,0.0,duplicate_side_effect,,5,5,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
adaptive_recovery_vs_adaptive,20,0.2,-1475.44,wasted_service_ms,,5,5,,,,,,3656.16,2299.58,2978.42,2355.76,727.8,1502.98,,,,,,
adaptive_recovery_vs_adaptive,50,0.0,0.0,resume_recovered,,5,5,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
adaptive_recovery_vs_adaptive,50,0.0,0.0,post_resume_success,,5,5,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
adaptive_recovery_vs_adaptive,50,0.0,0.0,avoided_replay_steps,,5,5,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
adaptive_recovery_vs_adaptive,50,0.0,-1.4,cascade_failed,,5,5,,,,,,2.8,0.4,1.6,0.6,0.0,0.2,,,,,,
adaptive_recovery_vs_adaptive,50,0.0,0.0,duplicate_side_effect,,5,5,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
