comparison,concurrency,failure_rate,mean_delta,metric,n_ng,n_plangate_adaptive,n_plangate_adaptive_react_recovery,n_plangate_no_capacity_step0,n_plangate_strict,ng_ci_high,ng_ci_low,ng_mean,plangate_adaptive_ci_high,plangate_adaptive_ci_low,plangate_adaptive_mean,plangate_adaptive_react_recovery_ci_high,plangate_adaptive_react_recovery_ci_low,plangate_adaptive_react_recovery_mean,plangate_no_capacity_step0_ci_high,plangate_no_capacity_step0_ci_low,plangate_no_capacity_step0_mean,plangate_strict_ci_high,plangate_strict_ci_low,plangate_strict_mean
adaptive_recovery_vs_adaptive,50,0.0,-108.62,wasted_service_ms,,5,5,,,,,,256.66,1.06,108.88,0.78,0.0,0.26,,,,,,
adaptive_recovery_vs_adaptive,50,0.1,1.4,resume_recovered,,5,5,,,,,,0.0,0.0,0.0,2.4,0.6,1.4,,,,,,
adaptive_recovery_vs_adaptive,50,0.1,1.4,post_resume_success,,5,5,,,,,,0.0,0.0,0.0,2.4,0.6,1.4,,,,,,
adaptive_recovery_vs_adaptive,50,0.1,5.0,avoided_replay_steps,,5,5,,,,,,0.0,0.0,0.0,7.4,2.4,5.0,,,,,,
adaptive_recovery_vs_adaptive,50,0.1,-0.6,cascade_failed,,5,5,,,,,,2.6,1.4,2.0,2.4,0.6,1.4,,,,,,
adaptive_recovery_vs_adaptive,50,0.1,0.0,duplicate_side_effect,,5,5,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
adaptive_recovery_vs_adaptive,50,0.1,142.32,wasted_service_ms,,5,5,,,,,,1115.54,287.6,642.84,1383.4,232.06,785.16,,,,,,
adaptive_recovery_vs_adaptive,50,0.2,2.6,resume_recovered,,5,5,,,,,,0.0,0.0,0.0,3.4,1.6,2.6,,,,,,
adaptive_recovery_vs_adaptive,50,0.2,2.6,post_resume_success,,5,5,,,,,,0.0,0.0,0.0,3.4,1.6,2.6,,,,,,
adaptive_recovery_vs_adaptive,50,0.2,8.2,avoided_replay_steps,,5,5,,,,,,0.0,0.0,0.0,12.8,3.6,8.2,,,,,,
adaptive_recovery_vs_adaptive,50,0.2,-2.0,cascade_failed,,5,5,,,,,,7.8,4.6,6.4,6.0,2.6,4.4,,,,,,
adaptive_recovery_vs_adaptive,50,0.2,0.0,duplicate_side_effect,,5,5,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
adaptive_recovery_vs_adaptive,50,0.2,-50.48,wasted_service_ms,,5,5,,,,,,1562.64,1042.3,1304.96,1982.3,514.86,1254.48,,,,,,
adaptive_recovery_vs_adaptive,100,0.0,0.0,resume_recovered,,5,5,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
adaptive_recovery_vs_adaptive,100,0.0,0.0,post_resume_success,,5,5,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
adaptive_recovery_vs_adaptive,100,0.0,0.0,avoided_replay_steps,,5,5,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
