experiment,gateway,run_idx,sweep_key,sweep_val,raw_goodput_s,effective_goodput_s,success,rejected_s0,cascade_failed,p95_ms,e2e_p95_ms,source_csv
Exp5_ScaleConc,sbac,1,conc,40,57.72,38.47,88,28,84,1855.4,8528.2,results/exp5_scaleconc/exp5_scaleconc_summary.csv
Exp5_ScaleConc,sbac,2,conc,40,58.21,43.25,101,26,73,1837.4,8383.7,results/exp5_scaleconc/exp5_scaleconc_summary.csv
Exp5_ScaleConc,sbac,3,conc,40,57.91,44.26,106,33,61,1844.8,8454.0,results/exp5_scaleconc/exp5_scaleconc_summary.csv
Exp5_ScaleConc,sbac,4,conc,40,58.04,43.53,97,30,73,1855.6,8251.4,results/exp5_scaleconc/exp5_scaleconc_summary.csv
Exp5_ScaleConc,sbac,5,conc,40,57.56,42.44,100,37,63,1850.8,8833.1,results/exp5_scaleconc/exp5_scaleconc_summary.csv
Exp5_ScaleConc,plangate_full,1,conc,40,35.45,35.45,53,147,0,809.8,2774.7,results/exp5_scaleconc/exp5_scaleconc_summary.csv
Exp5_ScaleConc,plangate_full,2,conc,40,35.42,35.42,49,151,0,810.2,2765.1,results/exp5_scaleconc/exp5_scaleconc_summary.csv
Exp5_ScaleConc,plangate_full,3,conc,40,41.36,41.36,51,149,0,826.4,3257.8,results/exp5_scaleconc/exp5_scaleconc_summary.csv
Exp5_ScaleConc,plangate_full,4,conc,40,46.16,46.16,61,139,0,810.5,2765.1,results/exp5_scaleconc/exp5_scaleconc_summary.csv
Exp5_ScaleConc,plangate_full,5,conc,40,48.2,48.2,59,141,0,810.5,3019.7,results/exp5_scaleconc/exp5_scaleconc_summary.csv
Exp5_ScaleConc,ng,1,conc,60,54.65,30.44,56,60,84,1882.5,7957.1,results/exp5_scaleconc/exp5_scaleconc_summary.csv
Exp5_ScaleConc,ng,2,conc,60,55.9,31.75,51,60,89,1892.7,7429.0,results/exp5_scaleconc/exp5_scaleconc_summary.csv
Exp5_ScaleConc,ng,3,conc,60,54.36,30.75,51,60,89,1895.0,8873.4,results/exp5_scaleconc/exp5_scaleconc_summary.csv
Exp5_ScaleConc,ng,4,conc,60,55.65,33.96,58,65,77,1879.4,8700.5,results/exp5_scaleconc/exp5_scaleconc_summary.csv
Exp5_ScaleConc,ng,5,conc,60,55.68,35.69,61,62,77,1874.0,7978.4,results/exp5_scaleconc/exp5_scaleconc_summary.csv
Exp5_ScaleConc,srl,1,conc,60,56.15,33.14,57,56,87,1893.8,7708.3,results/exp5_scaleconc/exp5_scaleconc_summary.csv
Exp5_ScaleConc,srl,2,conc,60,56.19,35.71,57,68,75,1904.6,8063.8,results/exp5_scaleconc/exp5_scaleconc_summary.csv
Exp5_ScaleConc,srl,3,conc,60,55.94,33.88,59,60,81,1890.9,8130.7,results/exp5_scaleconc/exp5_scaleconc_summary.csv
Exp5_ScaleConc,srl,4,conc,60,55.01,31.68,53,64,83,1888.7,8511.9,results/exp5_scaleconc/exp5_scaleconc_summary.csv
Exp5_ScaleConc,srl,5,conc,60,55.21,31.58,52,59,89,1902.9,8391.9,results/exp5_scaleconc/exp5_scaleconc_summary.csv
Exp5_ScaleConc,sbac,1,conc,60,55.58,32.48,52,73,75,1883.3,8171.0,results/exp5_scaleconc/exp5_scaleconc_summary.csv
Exp5_ScaleConc,sbac,2,conc,60,55.81,33.19,50,73,77,1874.9,8169.1,results/exp5_scaleconc/exp5_scaleconc_summary.csv
Exp5_ScaleConc,sbac,3,conc,60,55.64,33.99,54,64,82,1882.1,8046.6,results/exp5_scaleconc/exp5_scaleconc_summary.csv
Exp5_ScaleConc,sbac,4,conc,60,55.87,33.01,51,73,76,1883.9,8088.0,results/exp5_scaleconc/exp5_scaleconc_summary.csv
Exp5_ScaleConc,sbac,5,conc,60,55.81,36.12,58,67,75,1883.2,8436.0,results/exp5_scaleconc/exp5_scaleconc_summary.csv
Exp5_ScaleConc,plangate_full,1,conc,60,33.55,33.55,48,152,0,809.6,2597.8,results/exp5_scaleconc/exp5_scaleconc_summary.csv
Exp5_ScaleConc,plangate_full,2,conc,60,38.74,38.74,55,145,0,810.4,3392.4,results/exp5_scaleconc/exp5_scaleconc_summary.csv
Exp5_ScaleConc,plangate_full,3,conc,60,49.32,49.32,61,139,0,811.6,2913.2,results/exp5_scaleconc/exp5_scaleconc_summary.csv
Exp5_ScaleConc,plangate_full,4,conc,60,42.67,42.67,54,146,0,811.2,2913.7,results/exp5_scaleconc/exp5_scaleconc_summary.csv
Exp5_ScaleConc,plangate_full,5,conc,60,37.01,37.01,56,144,0,808.6,2760.6,results/exp5_scaleconc/exp5_scaleconc_summary.csv
Exp6_ScaleConcReact,ng,1,conc,10,67.24,67.24,200,0,0,809.5,3263.9,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,ng,2,conc,10,67.08,67.08,200,0,0,809.6,3262.9,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,ng,3,conc,10,67.14,67.14,200,0,0,809.7,3268.9,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,ng,4,conc,10,67.16,67.16,200,0,0,809.6,3262.6,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,ng,5,conc,10,67.13,67.13,200,0,0,809.7,3252.7,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,srl,1,conc,10,67.15,67.15,200,0,0,809.7,3258.8,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,srl,2,conc,10,67.21,67.21,200,0,0,809.8,3255.6,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,srl,3,conc,10,67.26,67.26,200,0,0,809.6,3263.1,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,srl,4,conc,10,67.16,67.16,200,0,0,809.7,3258.1,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,srl,5,conc,10,67.19,67.19,200,0,0,809.5,3262.0,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,sbac,1,conc,10,66.6,66.6,179,21,0,809.6,3261.3,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,sbac,2,conc,10,66.47,66.47,179,21,0,810.5,3265.3,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,sbac,3,conc,10,66.54,66.54,179,21,0,809.9,3264.5,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,sbac,4,conc,10,66.45,66.45,179,21,0,809.7,3312.9,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,sbac,5,conc,10,66.65,66.65,179,21,0,809.7,3257.3,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,plangate_full,1,conc,10,20.75,20.75,30,170,0,808.4,2765.2,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,plangate_full,2,conc,10,23.54,23.54,30,170,0,809.8,2612.0,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,plangate_full,3,conc,10,21.42,21.42,30,170,0,808.4,2605.0,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,plangate_full,4,conc,10,22.52,22.52,30,170,0,809.2,3406.4,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,plangate_full,5,conc,10,21.59,21.59,30,170,0,809.2,2609.8,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,ng,1,conc,20,65.29,65.03,199,0,1,1257.0,4936.2,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,ng,2,conc,20,65.7,65.7,200,0,0,1234.6,5084.8,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,ng,3,conc,20,65.0,65.0,200,0,0,1231.6,5116.7,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,ng,4,conc,20,66.02,66.02,200,0,0,1222.9,4981.2,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,ng,5,conc,20,65.56,65.56,200,0,0,1206.7,4919.0,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,srl,1,conc,20,65.75,65.75,200,0,0,1247.3,4972.2,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,srl,2,conc,20,65.81,65.81,200,0,0,1230.9,4997.9,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,srl,3,conc,20,65.69,65.69,200,0,0,1229.2,5051.8,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,srl,4,conc,20,65.89,65.89,200,0,0,1234.0,4926.4,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,srl,5,conc,20,65.25,65.25,200,0,0,1234.9,5056.9,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,sbac,1,conc,20,65.75,65.75,176,24,0,1214.0,4806.5,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,sbac,2,conc,20,65.19,65.19,176,24,0,1237.0,4729.7,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,sbac,3,conc,20,65.53,65.53,176,24,0,1231.4,4764.6,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,sbac,4,conc,20,65.89,65.89,176,24,0,1189.6,4862.3,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,sbac,5,conc,20,65.53,65.53,176,24,0,1201.1,4781.4,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,plangate_full,1,conc,20,20.36,20.36,30,170,0,810.4,2850.4,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,plangate_full,2,conc,20,22.14,22.06,30,169,1,812.2,2924.2,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,plangate_full,3,conc,20,17.6,17.6,30,170,0,813.1,2155.0,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,plangate_full,4,conc,20,22.64,22.64,30,170,0,809.5,2772.8,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,plangate_full,5,conc,20,23.81,23.81,30,170,0,813.3,2790.5,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,ng,1,conc,40,57.23,40.75,109,28,63,1835.7,7413.7,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,ng,2,conc,40,57.74,44.49,117,26,57,1844.8,8008.5,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,ng,3,conc,40,57.02,44.07,117,27,56,1849.9,8289.3,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,ng,4,conc,40,56.33,44.47,124,23,53,1827.5,8556.4,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,ng,5,conc,40,58.34,39.04,104,27,69,1824.1,8010.4,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,srl,1,conc,40,57.73,47.65,133,30,37,1816.8,7744.5,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
