gateway,run_idx,sweep_key,sweep_val,success,rejected_s0,cascade_failed,raw_goodput,effective_goodput,raw_goodput_s,effective_goodput_s,p50_ms,p95_ms,p99_ms,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms,csv,error
ng,5,ps_ratio,0.7,200,0,0,2062.0,2062.0,64.86,64.86,480.8,1265.6,2209.9,2853.6,5462.6,6677.7,ng_ps_ratio0.7_run5.csv,
srl,1,ps_ratio,0.7,200,0,0,2062.0,2062.0,63.9,63.9,476.8,1229.4,1458.3,2811.2,4983.2,5872.8,srl_ps_ratio0.7_run1.csv,
srl,2,ps_ratio,0.7,200,0,0,2062.0,2062.0,64.13,64.13,462.3,1286.4,2526.8,2794.6,5310.8,6980.4,srl_ps_ratio0.7_run2.csv,
srl,3,ps_ratio,0.7,200,0,0,2062.0,2062.0,64.58,64.58,457.6,1310.4,2304.6,2843.3,5520.3,7174.4,srl_ps_ratio0.7_run3.csv,
srl,4,ps_ratio,0.7,200,0,0,2062.0,2062.0,64.22,64.22,461.9,1260.5,2191.4,2825.5,5190.9,6444.5,srl_ps_ratio0.7_run4.csv,
srl,5,ps_ratio,0.7,200,0,0,2062.0,2062.0,64.76,64.76,476.8,1268.3,2218.2,2937.6,5316.3,7471.9,srl_ps_ratio0.7_run5.csv,
rajomon,1,ps_ratio,0.7,29,156,15,407.0,295.0,27.83,20.17,24.3,1138.9,1412.4,2367.2,4425.1,5087.8,rajomon_ps_ratio0.7_run1.csv,
rajomon,2,ps_ratio,0.7,29,157,14,400.0,295.0,31.15,22.97,9.4,1103.7,1370.5,2410.1,4885.7,5259.2,rajomon_ps_ratio0.7_run2.csv,
rajomon,3,ps_ratio,0.7,29,156,15,406.0,295.0,27.79,20.2,9.9,1379.8,2949.5,3710.5,6494.6,6855.5,rajomon_ps_ratio0.7_run3.csv,
rajomon,4,ps_ratio,0.7,41,143,16,497.0,404.0,38.71,31.47,216.1,1125.0,1434.9,2368.4,4508.4,5021.0,rajomon_ps_ratio0.7_run4.csv,
rajomon,5,ps_ratio,0.7,34,152,14,426.0,335.0,33.16,26.07,113.1,1162.6,1403.1,2363.2,4739.8,5202.4,rajomon_ps_ratio0.7_run5.csv,
dagor,1,ps_ratio,0.7,129,59,12,1489.0,1413.0,63.23,60.0,436.4,1326.5,1950.6,3016.0,5226.5,5564.2,dagor_ps_ratio0.7_run1.csv,
dagor,2,ps_ratio,0.7,108,73,19,1313.0,1206.0,62.56,57.46,436.8,1340.9,2257.2,3359.0,5845.1,6600.8,dagor_ps_ratio0.7_run2.csv,
dagor,3,ps_ratio,0.7,120,64,16,1419.0,1305.0,67.91,62.45,435.2,1236.8,1362.4,2910.4,4882.7,5556.5,dagor_ps_ratio0.7_run3.csv,
dagor,4,ps_ratio,0.7,146,53,1,1607.0,1600.0,66.76,66.47,453.0,1208.8,1360.3,2932.5,4855.9,5481.1,dagor_ps_ratio0.7_run4.csv,
dagor,5,ps_ratio,0.7,146,52,2,1608.0,1600.0,67.54,67.2,445.6,1257.8,1431.1,2986.0,4826.1,5278.6,dagor_ps_ratio0.7_run5.csv,
sbac,1,ps_ratio,0.7,200,0,0,2062.0,2062.0,64.86,64.86,467.0,1254.9,1979.7,2984.6,5170.2,6620.4,sbac_ps_ratio0.7_run1.csv,
sbac,2,ps_ratio,0.7,200,0,0,2062.0,2062.0,64.11,64.11,476.3,1316.5,2472.7,2869.1,5255.7,6608.0,sbac_ps_ratio0.7_run2.csv,
sbac,3,ps_ratio,0.7,200,0,0,2062.0,2062.0,64.61,64.61,483.1,1311.3,2364.3,2944.1,5286.5,6608.3,sbac_ps_ratio0.7_run3.csv,
sbac,4,ps_ratio,0.7,200,0,0,2062.0,2062.0,63.98,63.98,468.2,1275.7,2595.8,2872.3,5773.0,6963.8,sbac_ps_ratio0.7_run4.csv,
sbac,5,ps_ratio,0.7,200,0,0,2062.0,2062.0,64.68,64.68,479.6,1284.1,2714.5,2874.3,5543.2,5921.2,sbac_ps_ratio0.7_run5.csv,
plangate_full,1,ps_ratio,0.7,101,93,6,947.0,931.0,54.32,53.4,157.6,947.5,1786.2,1350.2,3720.6,4420.5,plangate_full_ps_ratio0.7_run1.csv,
plangate_full,2,ps_ratio,0.7,91,103,6,857.0,841.0,55.9,54.85,157.7,865.4,1017.2,1278.1,3079.0,3894.8,plangate_full_ps_ratio0.7_run2.csv,
plangate_full,3,ps_ratio,0.7,121,77,2,1170.0,1168.0,59.86,59.76,279.1,1133.8,1260.2,1927.2,3883.5,4691.0,plangate_full_ps_ratio0.7_run3.csv,
plangate_full,4,ps_ratio,0.7,94,98,8,887.0,859.0,52.53,50.87,158.4,957.7,1609.1,1355.8,3569.5,4559.0,plangate_full_ps_ratio0.7_run4.csv,
plangate_full,5,ps_ratio,0.7,92,101,7,843.0,818.0,61.5,59.68,157.0,828.6,921.6,1199.0,2845.3,3725.2,plangate_full_ps_ratio0.7_run5.csv,
ng,1,ps_ratio,1.0,200,0,0,2124.0,2124.0,61.04,61.04,440.9,1220.7,1633.1,2867.1,5129.8,6540.9,ng_ps_ratio1.0_run1.csv,
ng,2,ps_ratio,1.0,200,0,0,2124.0,2124.0,64.39,64.39,447.4,1237.8,1801.9,2955.0,5437.9,5891.3,ng_ps_ratio1.0_run2.csv,
ng,3,ps_ratio,1.0,200,0,0,2124.0,2124.0,64.51,64.51,453.6,1243.6,1963.7,3001.4,5033.3,6692.1,ng_ps_ratio1.0_run3.csv,
ng,4,ps_ratio,1.0,200,0,0,2124.0,2124.0,63.81,63.81,447.0,1227.3,1947.1,2891.0,5327.2,6556.6,ng_ps_ratio1.0_run4.csv,
ng,5,ps_ratio,1.0,200,0,0,2124.0,2124.0,64.05,64.05,443.0,1246.4,2269.3,2989.7,5279.4,6981.4,ng_ps_ratio1.0_run5.csv,
srl,1,ps_ratio,1.0,200,0,0,2124.0,2124.0,64.6,64.6,443.6,1262.3,2072.8,2926.3,5324.7,6684.8,srl_ps_ratio1.0_run1.csv,
srl,2,ps_ratio,1.0,200,0,0,2124.0,2124.0,64.34,64.34,442.5,1278.0,2466.0,2949.1,5435.9,6355.7,srl_ps_ratio1.0_run2.csv,
srl,3,ps_ratio,1.0,200,0,0,2124.0,2124.0,64.43,64.43,456.0,1234.6,2139.0,2909.8,5347.7,6768.9,srl_ps_ratio1.0_run3.csv,
srl,4,ps_ratio,1.0,200,0,0,2124.0,2124.0,64.1,64.1,435.8,1238.7,2281.0,2910.5,5244.4,6894.5,srl_ps_ratio1.0_run4.csv,
