mode,concurrency,run_idx,total_sessions,success,rejected_s0,cascade_failed,abd_pct,success_rate,rejected_s0_rate,semantic_failure_pct,effective_goodput_s,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms,e2e_mean_ms,gw_lat_mean_us,gw_lat_p95_us,cross_node_session_pct,state_miss_count,duplicate_admission_count,max_global_active_sessions,elapsed_s,gateway_traffic
shared_random,20,1,300,83,216,0,0.0,27.666666666666668,72.0,0.0,5.982699852901713,2775.764226913452,4728.450059890747,5760.5109214782715,2855.0262307546227,488385.06172839506,1242744.0,26.333333333333332,0,0,20,13.873335123062134,"{""http://127.0.0.1:9601"": 171, ""http://127.0.0.1:9602"": 208}"
shared_random,20,2,300,64,236,0,0.0,21.333333333333332,78.66666666666667,0.0,5.896472022903933,2417.56010055542,4471.877098083496,5182.529926300049,2480.2862852811813,404667.1483375959,1158751.0,19.333333333333332,0,0,20,10.853947877883911,"{""http://127.0.0.1:9601"": 175, ""http://127.0.0.1:9602"": 183}"
shared_random,20,3,300,73,227,0,0.0,24.333333333333332,75.66666666666667,0.0,7.220469384926211,1792.2091484069824,4447.2761154174805,5575.195074081421,1947.0522632337597,345305.22926829266,1114480.0,20.0,0,0,20,10.110146045684814,"{""http://127.0.0.1:9601"": 170, ""http://127.0.0.1:9602"": 190}"
shared_random,20,4,300,64,236,0,0.0,21.333333333333332,78.66666666666667,0.0,6.416113465499923,2543.1759357452393,4462.172746658325,4983.185291290283,2608.245577663183,431103.44041450776,1221597.0,18.0,0,0,20,9.974885940551758,"{""http://127.0.0.1:9601"": 183, ""http://127.0.0.1:9602"": 171}"
shared_random,20,5,300,108,192,0,0.0,36.0,64.0,0.0,7.063045671681493,2312.9870891571045,4918.987035751343,5575.473070144653,2573.0414854155647,491229.5425531915,1197871.0,30.333333333333332,0,0,20,15.29085397720337,"{""http://127.0.0.1:9601"": 196, ""http://127.0.0.1:9602"": 195}"
shared_random,40,1,300,61,237,2,3.1746031746031744,20.333333333333332,79.0,0.0,6.433963222589628,3284.4460010528564,5447.644948959351,6645.579099655151,3211.142438356994,440267.14347826084,1371720.0,19.0,0,0,31,9.480937004089355,"{""http://127.0.0.1:9601"": 164, ""http://127.0.0.1:9602"": 193}"
shared_random,40,2,300,72,226,2,2.7027027027027026,24.0,75.33333333333333,0.0,6.694462354824504,2393.3238983154297,5282.342195510864,6606.116056442261,2611.137204700046,436466.7029478458,1294066.0,21.333333333333332,0,0,30,10.755157947540283,"{""http://127.0.0.1:9601"": 179, ""http://127.0.0.1:9602"": 185}"
shared_random,40,3,300,56,242,2,3.4482758620689653,18.666666666666668,80.66666666666667,0.0,5.838337371656502,3874.3770122528076,5641.371011734009,7198.341131210327,3682.7966826302663,507375.5204819277,1434253.0,17.333333333333332,0,0,31,9.591771841049194,"{""http://127.0.0.1:9601"": 172, ""http://127.0.0.1:9602"": 180}"
shared_random,40,4,300,71,227,2,2.73972602739726,23.666666666666668,75.66666666666667,0.0,7.5779714721532265,2514.024019241333,4619.042873382568,5241.461992263794,2547.2514931584747,428666.6490825688,1289941.0,20.666666666666668,0,0,31,9.369261980056763,"{""http://127.0.0.1:9601"": 171, ""http://127.0.0.1:9602"": 191}"
shared_random,40,5,300,72,228,0,0.0,24.0,76.0,0.0,5.998649781875235,3903.2199382781982,5676.851034164429,7106.83012008667,3767.2376235326133,548453.8400809717,1449819.0,20.333333333333332,0,0,31,12.002701044082642,"{""http://127.0.0.1:9601"": 163, ""http://127.0.0.1:9602"": 198}"
